event_id,deccan_herald,firstpost,hindustan_times,india_today,indian_express,ndtv,news18,the_hindu,the_new_indian_express,the_times_of_india,theprint
EVT_00001,0,0,0,0,0,0,0,0,0,1,0
EVT_00002,0,0,0,0,0,0,0,0,0,1,0
EVT_00003,0,0,0,1,0,0,0,0,0,0,0
EVT_00004,0,0,0,0,1,0,0,0,0,0,0
EVT_00005,0,0,0,0,1,0,0,0,0,0,0
EVT_00006,0,0,0,0,1,0,0,0,0,0,0
EVT_00007,0,0,0,0,0,0,1,0,0,0,0
EVT_00008,0,0,0,0,1,0,0,0,0,0,0
EVT_00009,0,0,0,0,1,0,1,0,0,0,0
EVT_00010,0,0,0,0,1,0,0,0,0,0,0
EVT_00011,0,0,0,0,1,0,0,0,0,0,0
EVT_00012,0,0,0,0,1,0,0,0,0,0,0
EVT_00013,0,0,0,0,1,0,0,0,0,0,0
EVT_00014,0,0,0,0,1,0,0,0,0,0,0
EVT_00015,0,0,0,0,1,0,0,0,0,0,0
EVT_00016,0,0,0,0,1,0,0,0,0,0,0
EVT_00017,0,0,0,0,1,0,0,0,0,0,0
EVT_00018,0,0,0,0,1,0,0,0,0,0,0
EVT_00019,0,0,0,0,1,0,0,0,0,0,0
EVT_00020,0,0,0,0,1,0,0,0,0,0,0
EVT_00021,0,0,0,0,1,0,0,0,0,0,0
EVT_00023,0,0,0,0,1,0,0,0,0,0,0
EVT_00024,0,0,0,0,1,0,0,0,0,0,1
EVT_00025,0,0,0,0,1,0,0,0,0,0,0
EVT_00026,1,0,0,0,0,0,0,0,0,0,0
EVT_00030,0,0,0,0,0,0,1,0,0,0,0
EVT_00031,0,0,0,1,1,1,0,0,0,1,0
EVT_00032,0,0,0,0,0,0,0,0,0,0,1
EVT_00033,0,0,0,0,0,0,0,0,1,0,1
EVT_00034,0,0,0,0,0,0,1,0,0,0,0
EVT_00035,0,0,0,0,0,0,0,0,0,0,1
EVT_00036,0,0,0,0,0,0,1,0,0,0,0
EVT_00038,0,1,0,0,0,0,0,0,0,0,0
EVT_00039,0,0,0,0,0,0,0,0,0,0,1
EVT_00040,1,0,0,0,0,0,0,0,0,0,0
EVT_00041,1,0,0,0,0,0,0,0,0,0,0
EVT_00042,0,0,0,1,1,0,0,0,0,0,0
EVT_00043,0,0,0,0,0,0,1,0,0,0,1
EVT_00044,0,1,0,0,0,0,0,0,0,0,0
EVT_00045,0,0,0,0,0,0,0,1,1,0,1
EVT_00046,0,0,1,0,0,0,1,0,0,0,0
EVT_00047,1,0,0,0,0,0,0,0,0,0,0
EVT_00048,0,0,0,0,0,0,1,0,0,0,0
EVT_00050,0,1,0,0,0,0,0,0,0,0,0
EVT_00051,0,1,1,0,0,0,0,0,0,0,0
EVT_00052,0,1,0,0,0,0,0,0,0,0,0
EVT_00053,0,0,0,0,0,0,0,0,0,0,1
EVT_00054,0,0,1,0,0,0,0,0,0,0,0
EVT_00055,0,1,1,1,0,0,0,0,0,0,0
EVT_00058,0,0,0,0,0,0,0,0,0,0,1
EVT_00060,1,0,1,0,0,0,1,0,0,0,0
EVT_00061,0,0,1,0,0,0,0,0,0,0,0
EVT_00062,0,1,1,0,0,0,0,0,0,1,0
EVT_00063,0,1,0,1,0,0,0,0,0,0,0
EVT_00064,0,0,1,0,1,0,1,0,0,0,0
EVT_00065,0,0,1,1,0,0,1,0,0,0,0
EVT_00066,0,0,0,0,0,0,0,1,0,1,0
EVT_00067,0,0,1,1,1,0,1,0,0,0,0
EVT_00068,0,0,0,0,0,0,0,0,1,1,0
EVT_00070,0,0,0,0,0,1,0,0,0,0,0
EVT_00071,0,0,0,0,0,0,0,1,0,0,0
EVT_00072,0,0,0,1,0,0,0,0,0,0,0
EVT_00073,0,0,0,0,0,1,0,1,1,0,1
EVT_00074,0,0,0,0,0,1,0,0,0,0,0
EVT_00075,0,0,0,0,0,0,0,0,1,0,0
EVT_00076,0,0,0,0,0,0,0,0,0,1,0
EVT_00077,0,0,1,0,0,0,0,0,0,0,0
EVT_00078,0,0,0,0,0,0,0,0,0,1,0
